billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Wizkid,Wizkid,3tVQdUvClmAT7URs9V3rsp,"afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano","['afrobeats', 'afrobeat', 'afropop', 'azonto', 'afroswing', 'afro r&b', 'afropiano']",OK,3,"2016, 2021, 2022",One Dance | Essence
Zach Bryan,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"country, red dirt","['country', 'red dirt']",OK,3,"2022, 2023",Something in the Orange | I Remember Everything
the Weeknd,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,,NA,NAME_MISMATCH - verify correct artist,3,"2021, 2022",You Right | One Right Now
24kGoldn,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,,NA,NO_GENRES - artist has no genre tags,2,"2020, 2021",Mood
98 Degrees,98º,6V03b3Y36lolYP2orXn8mV,,NA,NAME_MISMATCH - verify correct artist,2,2000,Thank God I Found You | Give Me Just One Night (Una Noche)
Alex Band,Alex Band,6QEAuf6FEo9WJ3sm2vpJ5m,,NA,NO_GENRES - artist has no genre tags,2,"2003, 2004",Why Don't You & I
Black Eyed Peas,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,,NA,NO_GENRES - artist has no genre tags,2,"2003, 2020",Where Is the Love? | Ritmo (Bad Boys for Life)
Blanco Brown,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,"country hip hop, country","['country hip hop', 'country']",OK,2,"2019, 2021",The Git Up | Just the Way
Bobby Helms,Bobby Helms,38EmEgXkgK51MT2tPY0EoC,"christmas, villancicos","['christmas', 'villancicos']",OK,2,"2022, 2023",Jingle Bell Rock
Cam'ron,Cam'ron,7iMvwE8qANp3aIfAGKEAwS,east coast hip hop,['east coast hip hop'],OK,2,2002,Oh Boy | Hey Ma
Celine Dion,Céline Dion,4S9EykWXhStSc15wEx8QFK,variété française,['variété française'],NAME_MISMATCH - verify correct artist,2,"2000, 2002",That's the Way It Is | A New Day Has Come
Coi Leray,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,,NA,NO_GENRES - artist has no genre tags,2,"2021, 2023",No More Parties | Players
DRAM,DRAM,5M0lbkGluOPXLeFjApw8r8,,NA,NO_GENRES - artist has no genre tags,2,"2016, 2017",Broccoli
Debelah Morgan,Debelah Morgan,0tRRrNLQY5rejEDVSjy4w3,cha cha cha,['cha cha cha'],OK,2,"2000, 2001",Dance with Me
Five for Fighting,Five For Fighting,7FgMLbnZVrEnir95O0YujA,,NA,NAME_MISMATCH - verify correct artist,2,"2002, 2004",Superman (It's Not Easy) | 100 Years
Giveon,GIVĒON,4fxd5Ee7UefO4CUXgwJ7IP,r&b,['r&b'],NAME_MISMATCH - verify correct artist,2,2021,Peaches | Heartbreak Anniversary
Gnash,Gnash,5pBwZ6lMHJ5JLioRtpz8Mf,"sludge metal, grindcore","['sludge metal', 'grindcore']",OK,2,"2016, 2018","I Hate U, I Love U | Lights Down Low"
Goo Goo Dolls,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,,NA,NAME_MISMATCH - verify correct artist,2,"2000, 2002",Broadway | Here Is Gone
GoonRock,GoonRock,53sIBaVjXQhfH89Vu6nEGh,,NA,NO_GENRES - artist has no genre tags,2,"2011, 2012",Party Rock Anthem
Grupo Frontera,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, ranchera, corridos bélicos","['cumbia norteña', 'banda', 'norteño', 'música mexicana', 'corrido', 'corridos tumbados', 'grupera', 'tejano', 'ranchera', 'corridos bélicos']",OK,2,2023,Un x100to | Bebe Dame
Hayley Williams,Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM,art pop,['art pop'],OK,2,"2010, 2014",Airplanes | Stay the Night
Iann Dior,iann dior,6ASri4ePR7RlsvIQgWPJpS,melodic rap,['melodic rap'],NAME_MISMATCH - verify correct artist,2,"2020, 2021",Mood
