billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs,issue,suggested_genres,suggested_musicoset_format
Jessica Darrow,Jessica Darrow,4vdAAzZBUKbsrvHi6UR7B7,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Surface Pressure,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jonah Matranga,Jonah Matranga,3Ztgr9y1L9ZfoIOEsCrZEb,NA,NA,NO_GENRES - artist has no genre tags,1,2006,Where'd You Go,no_genres,"pop, dance pop","['pop', 'dance pop']"
Josey Scott,Josey Scott,5mNloTgSaf5qCyk48t9NSP,NA,NA,NO_GENRES - artist has no genre tags,1,2002,Hero,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kaliii,Kaliii,1YRqgFNXqRyMDRr8ClS1NL,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Area Codes,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kandi Girl,Kandi Girl,41TccBHnkaVhhgCgl83JU8,NA,NA,NO_GENRES - artist has no genre tags,1,2006,U and Dat,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kevin McCall,Kevin McCall,2teIxF2qgr0rYmTTMKiZ7s,NA,NA,NO_GENRES - artist has no genre tags,1,2010,Deuces,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kyjuan,Kyjuan,6kD993mKIytiN9sE6VyRfa,NA,NA,NO_GENRES - artist has no genre tags,1,2003,Air Force Ones,no_genres,"pop, dance pop","['pop', 'dance pop']"
Lil' Romeo,Lil' Romeo,2AXQzJRDvlJrq0fiVAnRy8,NA,NA,NO_GENRES - artist has no genre tags,1,2001,My Baby,no_genres,"pop, dance pop","['pop', 'dance pop']"
Los Lonely Boys,Los Lonely Boys,4aSEmLLxLX9wR5aLMllOKj,NA,NA,NO_GENRES - artist has no genre tags,1,2004,Heaven,no_genres,"pop, dance pop","['pop', 'dance pop']"
Mae Muller,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Better Days,no_genres,"pop, dance pop","['pop', 'dance pop']"
Mary Lambert,Mary Lambert,5Z2NUZiY3FA00HKu5WTMhA,NA,NA,NO_GENRES - artist has no genre tags,1,2013,Same Love,no_genres,"pop, dance pop","['pop', 'dance pop']"
Masked Wolf,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Astronaut in the Ocean,no_genres,"pop, dance pop","['pop', 'dance pop']"
Matthew Santos,Matthew Santos,5t2P9w0qT2I9y0DrNhykSj,NA,NA,NO_GENRES - artist has no genre tags,1,2008,Superstar,no_genres,"pop, dance pop","['pop', 'dance pop']"
Melle Mel,Melle Mel,2vFI46txKvL9Gde572uNTz,NA,NA,NO_GENRES - artist has no genre tags,1,2015,Downtown,no_genres,"pop, dance pop","['pop', 'dance pop']"
Mims,Mims,6RRYjswZrDD1U2lL9FFEPU,NA,NA,NO_GENRES - artist has no genre tags,1,2007,This Is Why I'm Hot,no_genres,"pop, dance pop","['pop', 'dance pop']"
Mooski,Mooski,4NqH3V7GS0Igs1VyGMXEi8,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Track Star,no_genres,"pop, dance pop","['pop', 'dance pop']"
Mr Hudson,Mr Hudson,1zV9UjTUevjp5VUddqIUUn,NA,NA,NO_GENRES - artist has no genre tags,1,2010,Young Forever,no_genres,"hip hop, rap","['hip hop', 'rap']"
Muni Long,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Hrs and Hrs,no_genres,"pop, dance pop","['pop', 'dance pop']"
Måneskin,Måneskin,0lAWpj5szCSwM4rUMHYmrr,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Beggin',no_genres,"pop, dance pop","['pop', 'dance pop']"
Natalie La Rose,Natalie La Rose,2qdONMCoDngQk0eV4Avs1i,NA,NA,NO_GENRES - artist has no genre tags,1,2015,Somebody,no_genres,"pop, dance pop","['pop', 'dance pop']"
Nicky Youre,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Sunroof,no_genres,"pop, dance pop","['pop', 'dance pop']"
Niia,Niia,1KlUwB6uFECMC3zzvFvykx,NA,NA,NO_GENRES - artist has no genre tags,1,2008,Sweetest Girl (Dollar Bill),no_genres,"pop, dance pop","['pop', 'dance pop']"
Nitti,Nitti,72NU0FPsKjpO730t9vbW0a,NA,NA,NO_GENRES - artist has no genre tags,1,2006,It's Goin' Down,no_genres,"pop, dance pop","['pop', 'dance pop']"
Noah Kahan,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Dial Drunk,no_genres,"pop, dance pop","['pop', 'dance pop']"
Paul McCoy,Paul McCoy,48Mb31TcOhPFjwacZPbiU9,NA,NA,NO_GENRES - artist has no genre tags,1,2003,Bring Me to Life,no_genres,"pop, dance pop","['pop', 'dance pop']"
Powfu,Powfu,6bmlMHgSheBauioMgKv2tn,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Death Bed,no_genres,"pop, dance pop","['pop', 'dance pop']"
QB Finest,QB Finest,06X9ub06B2zsqDpmHUqh3K,NA,NA,NO_GENRES - artist has no genre tags,1,2001,Oochie Wally,no_genres,"pop, dance pop","['pop', 'dance pop']"
Ray Dalton,Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,NA,NA,NO_GENRES - artist has no genre tags,1,2013,Can't Hold Us,no_genres,"pop, dance pop","['pop', 'dance pop']"
Remy Boyz,Remy Boyz,2s0yxtiHiyGe6CY4mbDYFi,NA,NA,NO_GENRES - artist has no genre tags,1,2016,679,no_genres,"pop, dance pop","['pop', 'dance pop']"
Rhenzy Feliz,Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,NA,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno,no_genres,"pop, dance pop","['pop', 'dance pop']"
Rozes,Rozes,6tARJVc2sZDHgAHOYJhRp8,NA,NA,NO_GENRES - artist has no genre tags,1,2016,Roses,no_genres,"pop, dance pop","['pop', 'dance pop']"
Ryan Tedder,Ryan Tedder,4we5S2VLjgY9KzIzApL1KI,NA,NA,NO_GENRES - artist has no genre tags,1,2011,Rocketeer,no_genres,"rock, alternative rock","['rock', 'alternative rock']"
Sabi,Sabi,3tB8VKd0rtEnc9x8l78ymo,NA,NA,NO_GENRES - artist has no genre tags,1,2011,You Make Me Feel...,no_genres,"pop, dance pop","['pop', 'dance pop']"
Sacario,Sacario,7bbJOUpJk7Y8Pkr2fCtDsc,NA,NA,NO_GENRES - artist has no genre tags,1,2002,If I Could Go!,no_genres,"pop, dance pop","['pop', 'dance pop']"
Sean Garrett,Sean Garrett,4aWpJudn4ljEWahx6cPEGu,NA,NA,NO_GENRES - artist has no genre tags,1,2009,Break Up,no_genres,"pop, dance pop","['pop', 'dance pop']"
Social House,Social House,5UjifI1TYefXWn9GdqDOHl,NA,NA,NO_GENRES - artist has no genre tags,1,2019,Boyfriend,no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Sonique,Sonique,5xtqw2B8z8JGfDYi2eAZHI,NA,NA,NO_GENRES - artist has no genre tags,1,2000,It Feels So Good,no_genres,"pop, dance pop","['pop', 'dance pop']"
SpotemGottem,SpotemGottem,3Y2MLcrD3ZQXRXmtn4fZQx,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Beat Box,no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
StaySolidRocky,StaySolidRocky,1XLWox9w1Yvbodui0SRhUQ,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Party Girl,no_genres,"rock, alternative rock","['rock', 'alternative rock']"
Stephanie Beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,NA,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno,no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Stephen Sanchez,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Until I Found You,no_genres,"pop, dance pop","['pop', 'dance pop']"
Surf Mesa,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,NA,NA,NO_GENRES - artist has no genre tags,1,2020,ILY (I Love You Baby),no_genres,"pop, dance pop","['pop', 'dance pop']"
Surfaces,Surfaces,4ETSs924pXMzjIeD6E9b4u,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Sunday Best,no_genres,"pop, dance pop","['pop', 'dance pop']"
The Product G&B,The Product G&B,782IpIScTpnDhYb9hyxOu1,NA,NA,NO_GENRES - artist has no genre tags,1,2000,Maria Maria,no_genres,"pop, dance pop","['pop', 'dance pop']"
Tiara Thomas,Tiara Thomas,69FykkhiqpzqeSNYRxc8BI,NA,NA,NO_GENRES - artist has no genre tags,1,2013,Bad,no_genres,"pop, dance pop","['pop', 'dance pop']"
Toosii,Toosii,6BH1xcDkwbbyrLMUKECsW1,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Favorite Song,no_genres,"pop, dance pop","['pop', 'dance pop']"
Trevor Daniel,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Falling,no_genres,"pop, dance pop","['pop', 'dance pop']"
Tyler Cole,Tyler Cole,1xoxekeb8jUVHKJB7m6bfg,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Meet Me at Our Spot,no_genres,"pop, dance pop","['pop', 'dance pop']"
Willa Ford,Willa Ford,0kuEP1E9k3WBEwMKwEmp9u,NA,NA,NO_GENRES - artist has no genre tags,1,2001,I Wanna Be Bad,no_genres,"pop, dance pop","['pop', 'dance pop']"
Wynter,Wynter,3DPBVk2CE9Tr0AAEEq19iB,NA,NA,NO_GENRES - artist has no genre tags,1,2009,Sugar,no_genres,"pop, dance pop","['pop', 'dance pop']"
YK Osiris,YK Osiris,7meyrw7Or5DwteYxDJrkCM,NA,NA,NO_GENRES - artist has no genre tags,1,2019,Worth It,no_genres,"pop, dance pop","['pop', 'dance pop']"
Yung Bleu,Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,NA,NA,NO_GENRES - artist has no genre tags,1,2021,You're Mines Still,no_genres,"hip hop, rap","['hip hop', 'rap']"
Zacari,Zacari,3qBKjEOanahMxlRojwCzhI,NA,NA,NO_GENRES - artist has no genre tags,1,2018,Love,no_genres,"pop, dance pop","['pop', 'dance pop']"
