billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",0.0,Solo
45,Thank God I Found You,Mariah Carey,2000,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",,
45,Thank God I Found You,Joe,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",,
45,Thank God I Found You,98 Degrees,2000,,,,
46,Let's Get Married,Jagged Edge,2000,atl hip hop,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",56.0,Solo
46,Let's Get Married,Jagged Edge,2000,atl hip hop,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",32.0,Solo
47,My Love Is Your Love,Whitney Houston,2000,dance pop,"['dance pop', 'pop']",61.0,Solo
48,Then the Morning Comes,Smash Mouth,2000,alternative rock,"['alternative rock', 'pop punk', 'pop rock', 'post-grunge']",44.0,Solo
49,Blue (Da Ba Dee),Eiffel 65,2000,bubblegum dance,"['bubblegum dance', 'eurodance', 'europop', 'italian pop', 'italo dance']",,
50,Desert Rose,Sting,2000,permanent wave,"['permanent wave', 'soft rock']",59.0,Solo
50,Desert Rose,Cheb Mami,2000,,,59.0,Solo
51,The Real Slim Shady,Eminem,2000,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",77.0,Solo
52,Most Girls,Pink,2000,,,75.0,Solo
52,Most Girls,Pink,2000,,,51.0,Solo
53,Wifey,Next,2000,boy band,"['boy band', 'dance pop', 'hip hop', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",54.0,Solo
54,Wonderful,Everclear,2000,alternative metal,"['alternative metal', 'alternative rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",55.0,Solo
54,Wonderful,Everclear,2000,alternative metal,"['alternative metal', 'alternative rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",42.0,Solo
54,Wonderful,Everclear,2000,alternative metal,"['alternative metal', 'alternative rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",14.0,Solo
54,Wonderful,Everclear,2000,alternative metal,"['alternative metal', 'alternative rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",58.0,Collaboration
55,Oops!... I Did It Again,Britney Spears,2000,dance pop,"['dance pop', 'pop', 'post-teen pop']",,
56,I Wanna Love You Forever,Jessica Simpson,2000,dance pop,"['dance pop', 'post-teen pop']",56.0,Solo
57,Give Me Just One Night (Una Noche),98 Degrees,2000,,,44.0,Solo
58,Take a Picture,Filter,2000,alternative metal,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'industrial rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",62.0,Solo
59,Otherside,Red Hot Chili Peppers,2000,alternative rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",71.0,Solo
59,Otherside,Red Hot Chili Peppers,2000,alternative rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",76.0,Solo
60,Big Pimpin',Jay-Z,2000,,,,
