song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
2736,Sugar (Gimme Some),2005,55,Ludacris,1,primary,491.0,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2737,Sugar (Gimme Some),2005,55,Trick Daddy,1,primary,491.0,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2738,"Sugar, We're Goin Down",2005,40,Fall Out Boy,1,primary,466.0,emo,"['emo', 'modern rock', 'pop punk']",artist_name
2739,"Sugar, We're Goin Down",2006,68,Fall Out Boy,1,primary,466.0,emo,"['emo', 'modern rock', 'pop punk']",artist_name
2740,Suge,2019,24,DaBaby,1,primary,810.0,,,artist_name
2741,Suicidal,2020,75,Juice Wrld,1,primary,481.0,chicago rap,['chicago rap'],artist_name
2742,Suicidal,2020,75,YNW Melly,1,primary,478.0,chicago rap,,lyrics_0.87
2743,Suit & Tie,2013,20,Jay-Z,1,primary,787.0,dance pop,,lyrics_1.00
2744,Suit & Tie,2013,20,Justin Timberlake,1,primary,787.0,dance pop,"['dance pop', 'pop']",artist_name
2745,Sum 2 Prove,2020,79,Lil Baby,1,primary,950.0,atl hip hop,"['atl hip hop', 'atl trap', 'rap', 'trap music']",artist_name
2746,Summer,2014,33,Calvin Harris,1,primary,127.0,edm,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",artist_name
2747,Summer Love,2007,39,Justin Timberlake,1,primary,525.0,dance pop,"['dance pop', 'pop']",artist_name
2748,Summertime Sadness,2013,45,Cédric Gervais,1,primary,2459.0,dance pop,,lyrics_0.65
2749,Summertime Sadness,2013,45,Lana Del Rey,1,primary,315.0,dance pop,"['dance pop', 'pop']",artist_name
2750,Sunday Best,2020,61,Surfaces,1,primary,254.0,,,artist_name
2751,Sunflower,2019,2,Post Malone,1,primary,338.0,dfw rap,"['dfw rap', 'pop', 'rap']",artist_name
2752,Sunflower,2019,2,Swae Lee,1,primary,338.0,trap music,['trap music'],artist_name
2753,Sunroof,2022,29,Nicky Youre,1,primary,404.0,deep pop r&b,,lyrics_0.79
2754,Sunshine,2004,20,Lil' Flip,1,primary,647.0,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'southern hip hop', 'trap music']",artist_name
2755,Supalonely,2020,84,Benee,1,primary,482.0,australian dance,,lyrics_0.86
2756,Supalonely,2020,84,Gus Dapperton,1,primary,482.0,australian dance,,lyrics_0.86
2757,Super Bass,2011,8,Nicki Minaj,1,primary,704.0,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",artist_name
2758,Super Freaky Girl,2022,56,Nicki Minaj,1,primary,579.0,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",artist_name
