genre_1,genre_2,early_count,late_count,absolute_growth,percent_growth
pop,west coast trap,0,1,1,
easy listening,lounge,0,1,1,
brill building pop,nashville sound,0,1,1,
art rock,classic rock,0,1,1,
art pop,dance pop,0,1,1,
german techno,tropical house,0,1,1,
conscious hip hop,nc hip hop,0,1,1,
metropopolis,urban contemporary,0,1,1,
brostep,vapor twitch,0,1,1,
cubaton,tropical,0,1,1,
gauze pop,indietronica,0,1,1,
metropopolis,r&b,0,1,1,
dance pop,west coast trap,0,1,1,
afropop,nigerian pop,0,1,1,
europop,motown,0,1,1,
art rock,permanent wave,0,1,1,
art rock,singer-songwriter,0,1,1,
candy pop,tropical house,0,1,1,
german techno,pop,0,1,1,
pop rap,portland hip hop,0,1,1,
indie pop,pop rock,1,2,1,100
disco,europop,0,1,1,
dance rock,soft rock,0,1,1,
electro,electronic,0,1,1,
art rock,rock,0,1,1,
chicago rap,underground hip hop,0,1,1,
art rock,lilith,0,1,1,
dance pop,etherpop,0,1,1,
electronic trap,vapor twitch,0,1,1,
latin hip hop,latin pop,0,1,1,
alternative dance,metropopolis,0,1,1,
brill building pop,rockabilly,0,1,1,
new wave,piano rock,0,1,1,
nigerian hip hop,nigerian pop,0,1,1,
dance pop,dance rock,0,1,1,
dance rock,permanent wave,0,1,1,
chicago drill,pop rap,0,1,1,
hip hop,portland hip hop,0,1,1,
bmore,pop,0,1,1,
atl trap,vapor trap,0,1,1,
art rock,folk rock,0,1,1,
azonto,nigerian hip hop,0,1,1,
glam rock,piano rock,0,1,1,
post-teen pop,uk funky,0,1,1,
uk funky,uk pop,0,1,1,
la indie,rock,0,1,1,
new jersey rap,rap,0,1,1,
electro,old school hip hop,0,1,1,
australian hip hop,dance pop,0,1,1,
modern alternative rock,modern blues rock,0,1,1,
brill building pop,vocal jazz,0,1,1,
scandipop,swedish electropop,0,1,1,
ninja,pop,0,1,1,
electro house,moombahton,0,1,1,
dance pop,uk funky,0,1,1,
indie pop,stomp and holler,0,1,1,
disco,new romantic,0,1,1,
europop,new romantic,0,1,1,
dance rock,lilith,0,1,1,
german techno,post-teen pop,0,1,1,
contemporary country,deep talent show,0,1,1,
chicago rap,rap,5,6,1,20
indie poptimism,indietronica,0,1,1,
stomp pop,uk pop,0,1,1,
adult standards,american folk revival,0,1,1,
canadian pop,indie poptimism,0,1,1,
complextro,electro,0,1,1,
country,modern uplift,0,1,1,
dmv rap,hip hop,0,1,1,
new jersey rap,southern hip hop,0,1,1,
electropop,escape room,0,1,1,
alternative r&b,underground hip hop,0,1,1,
permanent wave,piano rock,0,1,1,
red dirt,texas country,0,1,1,
big room,tropical house,1,2,1,100
mellow gold,rock,1,2,1,100
chicago drill,drill,0,1,1,
etherpop,post-teen pop,0,1,1,
deep groove house,disco house,0,1,1,
downtempo,pop,0,1,1,
cubaton,dance pop,0,1,1,
electronic,filter house,0,1,1,
australian hip hop,hip pop,0,1,1,
easy listening,nashville sound,0,1,1,
art pop,uk pop,0,1,1,
complextro,dance pop,0,1,1,
complextro,tropical house,0,1,1,
k-hop,k-pop,0,1,1,
chicago rap,southern hip hop,3,4,1,33.33
electropop,modern rock,0,1,1,
folk-pop,uk americana,0,1,1,
la indie,modern rock,0,1,1,
escape room,neo soul,0,1,1,
florida rap,hip hop,0,1,1,
post-teen pop,uk dance,0,1,1,
pop,pop edm,0,1,1,
dance pop,scandipop,0,1,1,
southern hip hop,west coast trap,0,1,1,
latin viral pop,rap latina,0,1,1,
australian electropop,downtempo,0,1,1,
australian hip hop,post-teen pop,0,1,1,
gangster rap,old school hip hop,0,1,1,
australian dance,downtempo,0,1,1,
art pop,piano rock,0,1,1,
electro,gangster rap,0,1,1,
nashville sound,rockabilly,0,1,1,
new wave pop,piano rock,0,1,1,
electropop,viral pop,0,1,1,
country road,pop,0,1,1,
edm,scandipop,0,1,1,
memphis hip hop,southern hip hop,2,3,1,50
dmv rap,pop rap,0,1,1,
album rock,folk rock,0,1,1,
modern country rock,outlaw country,1,2,1,100
australian pop,neo mellow,1,2,1,100
azonto,nigerian pop,0,1,1,
cubaton,latin,0,1,1,
conscious hip hop,dmv rap,0,1,1,
atl hip hop,escape room,0,1,1,
atl trap,pop,0,1,1,
bergen indie,electropop,0,1,1,
drill,southern hip hop,0,1,1,
australian dance,australian electropop,0,1,1,
alternative r&b,southern hip hop,0,1,1,
dance pop,hyphy,0,1,1,
stomp and holler,uk americana,0,1,1,
lgbtq+ hip hop,pop,0,1,1,
