from,to,weight,year
acid jazz,nu jazz,0,2005
acid jazz,nu jazz,0,2006
acid jazz,nu jazz,0,2007
acid jazz,nu jazz,0,2008
acid jazz,nu jazz,0,2009
acid jazz,nu jazz,0,2010
acid jazz,nu jazz,0,2011
acid jazz,nu jazz,0,2012
acid jazz,nu jazz,0,2013
acid jazz,nu jazz,0,2014
acid jazz,nu jazz,0,2015
acid jazz,nu jazz,0,2016
acid jazz,nu jazz,0,2017
acid jazz,nu jazz,0,2018
acid jazz,nu jazz,0,2019
acid jazz,nu jazz,0,2020
acid jazz,nu jazz,0,2021
acid jazz,nu jazz,0,2022
acid jazz,nu jazz,0,2023
acid jazz,quiet storm,0,2000
acid jazz,quiet storm,0,2001
acid jazz,quiet storm,0,2002
acid jazz,quiet storm,0,2003
acid jazz,quiet storm,0,2004
acid jazz,quiet storm,0,2005
acid jazz,quiet storm,0,2006
acid jazz,quiet storm,0,2007
acid jazz,quiet storm,0,2008
acid jazz,quiet storm,0,2009
acid jazz,quiet storm,0,2010
acid jazz,quiet storm,0,2011
acid jazz,quiet storm,0,2012
acid jazz,quiet storm,0,2013
acid jazz,quiet storm,0,2014
acid jazz,quiet storm,0,2015
acid jazz,quiet storm,0,2016
acid jazz,quiet storm,0,2017
acid jazz,quiet storm,0,2018
acid jazz,quiet storm,0,2019
acid jazz,quiet storm,0,2020
acid jazz,quiet storm,0,2021
acid jazz,quiet storm,0,2022
acid jazz,quiet storm,0,2023
acid jazz,soul,0,2000
acid jazz,soul,0,2001
acid jazz,soul,0,2002
acid jazz,soul,0,2003
acid jazz,soul,0,2004
acid jazz,soul,0,2005
acid jazz,soul,0,2006
acid jazz,soul,0,2007
acid jazz,soul,0,2008
acid jazz,soul,0,2009
acid jazz,soul,0,2010
acid jazz,soul,0,2011
acid jazz,soul,0,2012
acid jazz,soul,0,2013
acid jazz,soul,0,2014
acid jazz,soul,0,2015
acid jazz,soul,0,2016
acid jazz,soul,0,2017
acid jazz,soul,0,2018
acid jazz,soul,0,2019
acid jazz,soul,0,2020
